prepo_func,model,accuracy
DON,NB,0.14
DON,SVM,0.3
DON,LR,0.24
DON,AdaBoost,0.04
DON,XGBoost,0.22
DON,RandomForest,0.28
DON,DecisionTree,0.12
LOW,NB,0.08
LOW,SVM,0.22
LOW,LR,0.14
LOW,AdaBoost,0.14
LOW,XGBoost,0.14
LOW,RandomForest,0.18
LOW,DecisionTree,0.18
RSW,NB,0.2
RSW,SVM,0.2
RSW,LR,0.2
RSW,AdaBoost,0.04
RSW,XGBoost,0.22
RSW,RandomForest,0.24
RSW,DecisionTree,0.1
STM,NB,0.08
STM,SVM,0.14
STM,LR,0.18
STM,AdaBoost,0.08
STM,XGBoost,0.16
STM,RandomForest,0.18
STM,DecisionTree,0.18
LOW_RSW,NB,0.18
LOW_RSW,SVM,0.18
LOW_RSW,LR,0.18
LOW_RSW,AdaBoost,0.04
LOW_RSW,XGBoost,0.14
LOW_RSW,RandomForest,0.22
LOW_RSW,DecisionTree,0.14
LOW_STM,NB,0.08
LOW_STM,SVM,0.14
LOW_STM,LR,0.18
LOW_STM,AdaBoost,0.08
LOW_STM,XGBoost,0.16
LOW_STM,RandomForest,0.18
LOW_STM,DecisionTree,0.18
RSW_LOW,NB,0.14
RSW_LOW,SVM,0.1
RSW_LOW,LR,0.22
RSW_LOW,AdaBoost,0.1
RSW_LOW,XGBoost,0.12
RSW_LOW,RandomForest,0.22
RSW_LOW,DecisionTree,0.14
RSW_STM,NB,0.14
RSW_STM,SVM,0.1
RSW_STM,LR,0.22
RSW_STM,AdaBoost,0.1
RSW_STM,XGBoost,0.12
RSW_STM,RandomForest,0.22
RSW_STM,DecisionTree,0.14
STM_LOW,NB,0.08
STM_LOW,SVM,0.14
STM_LOW,LR,0.18
STM_LOW,AdaBoost,0.08
STM_LOW,XGBoost,0.16
STM_LOW,RandomForest,0.18
STM_LOW,DecisionTree,0.18
STM_RSW,NB,0.18
STM_RSW,SVM,0.18
STM_RSW,LR,0.18
STM_RSW,AdaBoost,0.04
STM_RSW,XGBoost,0.14
STM_RSW,RandomForest,0.22
STM_RSW,DecisionTree,0.14
LOW_STM_RSW,NB,0.18
LOW_STM_RSW,SVM,0.18
LOW_STM_RSW,LR,0.18
LOW_STM_RSW,AdaBoost,0.04
LOW_STM_RSW,XGBoost,0.14
LOW_STM_RSW,RandomForest,0.22
LOW_STM_RSW,DecisionTree,0.14
LOW_RSW_STM,NB,0.18
LOW_RSW_STM,SVM,0.18
LOW_RSW_STM,LR,0.18
LOW_RSW_STM,AdaBoost,0.04
LOW_RSW_STM,XGBoost,0.14
LOW_RSW_STM,RandomForest,0.22
LOW_RSW_STM,DecisionTree,0.14
STM_LOW_RSW,NB,0.18
STM_LOW_RSW,SVM,0.18
STM_LOW_RSW,LR,0.18
STM_LOW_RSW,AdaBoost,0.04
STM_LOW_RSW,XGBoost,0.14
STM_LOW_RSW,RandomForest,0.22
STM_LOW_RSW,DecisionTree,0.14
STM_RSW_LOW,NB,0.18
STM_RSW_LOW,SVM,0.18
STM_RSW_LOW,LR,0.18
STM_RSW_LOW,AdaBoost,0.04
STM_RSW_LOW,XGBoost,0.14
STM_RSW_LOW,RandomForest,0.22
STM_RSW_LOW,DecisionTree,0.14
RSW_LOW_STM,NB,0.14
RSW_LOW_STM,SVM,0.1
RSW_LOW_STM,LR,0.22
RSW_LOW_STM,AdaBoost,0.1
RSW_LOW_STM,XGBoost,0.12
RSW_LOW_STM,RandomForest,0.22
RSW_LOW_STM,DecisionTree,0.14
RSW_STM_LOW,NB,0.14
RSW_STM_LOW,SVM,0.1
RSW_STM_LOW,LR,0.22
RSW_STM_LOW,AdaBoost,0.1
RSW_STM_LOW,XGBoost,0.12
RSW_STM_LOW,RandomForest,0.22
RSW_STM_LOW,DecisionTree,0.14
