prepo_func,model,accuracy
DON,NB,0.44
DON,SVM,0.42
DON,LR,0.48
DON,AdaBoost,0.36
DON,XGBoost,0.38
DON,RandomForest,0.38
DON,DecisionTree,0.26
LOW,NB,0.36
LOW,SVM,0.44
LOW,LR,0.46
LOW,AdaBoost,0.32
LOW,XGBoost,0.38
LOW,RandomForest,0.36
LOW,DecisionTree,0.32
RSW,NB,0.42
RSW,SVM,0.42
RSW,LR,0.46
RSW,AdaBoost,0.32
RSW,XGBoost,0.46
RSW,RandomForest,0.44
RSW,DecisionTree,0.38
STM,NB,0.3
STM,SVM,0.36
STM,LR,0.38
STM,AdaBoost,0.36
STM,XGBoost,0.34
STM,RandomForest,0.32
STM,DecisionTree,0.38
LOW_RSW,NB,0.3
LOW_RSW,SVM,0.38
LOW_RSW,LR,0.4
LOW_RSW,AdaBoost,0.42
LOW_RSW,XGBoost,0.36
LOW_RSW,RandomForest,0.4
LOW_RSW,DecisionTree,0.22
LOW_STM,NB,0.3
LOW_STM,SVM,0.36
LOW_STM,LR,0.38
LOW_STM,AdaBoost,0.36
LOW_STM,XGBoost,0.34
LOW_STM,RandomForest,0.32
LOW_STM,DecisionTree,0.38
RSW_LOW,NB,0.34
RSW_LOW,SVM,0.4
RSW_LOW,LR,0.44
RSW_LOW,AdaBoost,0.44
RSW_LOW,XGBoost,0.44
RSW_LOW,RandomForest,0.44
RSW_LOW,DecisionTree,0.26
RSW_STM,NB,0.34
RSW_STM,SVM,0.4
RSW_STM,LR,0.44
RSW_STM,AdaBoost,0.44
RSW_STM,XGBoost,0.44
RSW_STM,RandomForest,0.44
RSW_STM,DecisionTree,0.26
STM_LOW,NB,0.3
STM_LOW,SVM,0.36
STM_LOW,LR,0.38
STM_LOW,AdaBoost,0.36
STM_LOW,XGBoost,0.34
STM_LOW,RandomForest,0.32
STM_LOW,DecisionTree,0.38
STM_RSW,NB,0.3
STM_RSW,SVM,0.38
STM_RSW,LR,0.4
STM_RSW,AdaBoost,0.42
STM_RSW,XGBoost,0.36
STM_RSW,RandomForest,0.4
STM_RSW,DecisionTree,0.22
LOW_STM_RSW,NB,0.3
LOW_STM_RSW,SVM,0.38
LOW_STM_RSW,LR,0.4
LOW_STM_RSW,AdaBoost,0.42
LOW_STM_RSW,XGBoost,0.36
LOW_STM_RSW,RandomForest,0.4
LOW_STM_RSW,DecisionTree,0.22
LOW_RSW_STM,NB,0.3
LOW_RSW_STM,SVM,0.38
LOW_RSW_STM,LR,0.4
LOW_RSW_STM,AdaBoost,0.42
LOW_RSW_STM,XGBoost,0.36
LOW_RSW_STM,RandomForest,0.4
LOW_RSW_STM,DecisionTree,0.22
STM_LOW_RSW,NB,0.3
STM_LOW_RSW,SVM,0.38
STM_LOW_RSW,LR,0.4
STM_LOW_RSW,AdaBoost,0.42
STM_LOW_RSW,XGBoost,0.36
STM_LOW_RSW,RandomForest,0.4
STM_LOW_RSW,DecisionTree,0.22
STM_RSW_LOW,NB,0.3
STM_RSW_LOW,SVM,0.38
STM_RSW_LOW,LR,0.4
STM_RSW_LOW,AdaBoost,0.42
STM_RSW_LOW,XGBoost,0.36
STM_RSW_LOW,RandomForest,0.4
STM_RSW_LOW,DecisionTree,0.22
RSW_LOW_STM,NB,0.34
RSW_LOW_STM,SVM,0.4
RSW_LOW_STM,LR,0.44
RSW_LOW_STM,AdaBoost,0.44
RSW_LOW_STM,XGBoost,0.44
RSW_LOW_STM,RandomForest,0.44
RSW_LOW_STM,DecisionTree,0.26
RSW_STM_LOW,NB,0.34
RSW_STM_LOW,SVM,0.4
RSW_STM_LOW,LR,0.44
RSW_STM_LOW,AdaBoost,0.44
RSW_STM_LOW,XGBoost,0.44
RSW_STM_LOW,RandomForest,0.44
RSW_STM_LOW,DecisionTree,0.26
