prepo_func,model,accuracy
DON,AdaBoost,0.3
DON,XGBoost,0.48
DON,RandomForest,0.44
DON,DecisionTree,0.38
LOW,AdaBoost,0.38
LOW,XGBoost,0.42
LOW,RandomForest,0.42
LOW,DecisionTree,0.32
RSW,AdaBoost,0.34
RSW,XGBoost,0.4
RSW,RandomForest,0.46
RSW,DecisionTree,0.44
STM,AdaBoost,0.28
STM,XGBoost,0.38
STM,RandomForest,0.42
STM,DecisionTree,0.32
LOW_RSW,AdaBoost,0.28
LOW_RSW,XGBoost,0.38
LOW_RSW,RandomForest,0.46
LOW_RSW,DecisionTree,0.38
LOW_STM,AdaBoost,0.28
LOW_STM,XGBoost,0.38
LOW_STM,RandomForest,0.42
LOW_STM,DecisionTree,0.32
RSW_LOW,AdaBoost,0.46
RSW_LOW,XGBoost,0.36
RSW_LOW,RandomForest,0.48
RSW_LOW,DecisionTree,0.42
RSW_STM,AdaBoost,0.46
RSW_STM,XGBoost,0.36
RSW_STM,RandomForest,0.48
RSW_STM,DecisionTree,0.42
STM_LOW,AdaBoost,0.28
STM_LOW,XGBoost,0.38
STM_LOW,RandomForest,0.42
STM_LOW,DecisionTree,0.32
STM_RSW,AdaBoost,0.28
STM_RSW,XGBoost,0.38
STM_RSW,RandomForest,0.46
STM_RSW,DecisionTree,0.38
LOW_STM_RSW,AdaBoost,0.28
LOW_STM_RSW,XGBoost,0.38
LOW_STM_RSW,RandomForest,0.46
LOW_STM_RSW,DecisionTree,0.38
LOW_RSW_STM,AdaBoost,0.28
LOW_RSW_STM,XGBoost,0.38
LOW_RSW_STM,RandomForest,0.46
LOW_RSW_STM,DecisionTree,0.38
STM_LOW_RSW,AdaBoost,0.28
STM_LOW_RSW,XGBoost,0.38
STM_LOW_RSW,RandomForest,0.46
STM_LOW_RSW,DecisionTree,0.38
STM_RSW_LOW,AdaBoost,0.28
STM_RSW_LOW,XGBoost,0.38
STM_RSW_LOW,RandomForest,0.46
STM_RSW_LOW,DecisionTree,0.38
RSW_LOW_STM,AdaBoost,0.46
RSW_LOW_STM,XGBoost,0.36
RSW_LOW_STM,RandomForest,0.48
RSW_LOW_STM,DecisionTree,0.42
RSW_STM_LOW,AdaBoost,0.46
RSW_STM_LOW,XGBoost,0.36
RSW_STM_LOW,RandomForest,0.48
RSW_STM_LOW,DecisionTree,0.42
