dataset,model,hybrid,feat_sel,feat_trans,accuracy,recall,f1,train_time
20newsgroups,SVM,tfidf+word2vec_cbow,rfe,none,0.747,0.747,0.742,2.53805
20newsgroups,NB,bow+tfidf,none,none,0.742,0.741,0.741,0.09117
20newsgroups,NB,bow+tfidf,chi2,none,0.739,0.739,0.738,0.02179
20newsgroups,SVM,tfidf+word2vec_cbow,none,none,0.741,0.74,0.734,6.17579
20newsgroups,NB,bow+tfidf,mi,none,0.733,0.732,0.732,0.02296
20newsgroups,SVM,tfidf+fasttext,rfe,none,0.733,0.732,0.728,2.11478
20newsgroups,SVM,tfidf+word2vec_cbow,mi,none,0.731,0.731,0.726,5.73261
20newsgroups,NB,bow+tfidf,chi2,maxabs,0.73,0.73,0.726,0.02051
20newsgroups,SVM,tfidf+fasttext,none,none,0.73,0.729,0.723,2.75439
20newsgroups,NB,bow+tfidf,none,maxabs,0.726,0.725,0.723,0.08624
20newsgroups,SVM,tfidf+fasttext,mi,none,0.718,0.717,0.711,2.21235
20newsgroups,SVM,tfidf+fasttext,none,norm_l2,0.716,0.716,0.709,1.72836
20newsgroups,SVM,tfidf+fasttext,mi,norm_l2,0.716,0.716,0.708,1.57669
20newsgroups,NB,bow+tfidf,mi,maxabs,0.707,0.706,0.707,0.02244
20newsgroups,SVM,tfidf+fasttext,rfe,norm_l2,0.714,0.713,0.706,1.54665
20newsgroups,NB,bow+tfidf,none,norm_l2,0.702,0.701,0.704,0.08214
20newsgroups,SVM,tfidf+word2vec_cbow,rfe,norm_l2,0.7,0.7,0.695,1.57404
20newsgroups,NB,bow+tfidf,mi,norm_l2,0.691,0.691,0.693,0.02225
20newsgroups,SVM,tfidf+fasttext,none,maxabs,0.692,0.692,0.684,9.36897
20newsgroups,SVM,tfidf+word2vec_cbow,none,norm_l2,0.685,0.685,0.683,2.83571
20newsgroups,NB,bow+tfidf,chi2,norm_l2,0.683,0.683,0.682,0.02135
20newsgroups,SVM,tfidf+word2vec_cbow,mi,norm_l2,0.677,0.677,0.673,2.70613
20newsgroups,SVM,tfidf+word2vec_cbow,none,maxabs,0.676,0.675,0.67,14.11167
20newsgroups,SVM,tfidf+word2vec_cbow,rfe,maxabs,0.669,0.669,0.662,2.83481
20newsgroups,SVM,tfidf+fasttext,rfe,maxabs,0.665,0.665,0.658,4.90371
20newsgroups,SVM,tfidf+word2vec_cbow,rfe,svd100,0.659,0.658,0.647,0.37381
20newsgroups,SVM,tfidf+word2vec_cbow,none,svd100,0.657,0.657,0.646,0.4468
20newsgroups,SVM,tfidf+fasttext,none,svd100,0.645,0.645,0.634,0.29897
20newsgroups,SVM,tfidf+fasttext,mi,maxabs,0.638,0.638,0.633,5.56075
20newsgroups,SVM,tfidf+fasttext,mi,svd100,0.642,0.642,0.633,0.31092
20newsgroups,SVM,tfidf+word2vec_cbow,mi,svd100,0.645,0.644,0.632,0.45206
20newsgroups,SVM,tfidf+word2vec_cbow,mi,maxabs,0.636,0.635,0.63,7.18669
20newsgroups,SVM,tfidf+fasttext,rfe,svd100,0.633,0.633,0.624,0.31986
