dataset,model,hybrid,feat_sel,feat_trans,accuracy,recall,f1,train_time
ag_news,SVM,tfidf+glove,none,none,0.924,0.924,0.924,91.421
ag_news,SVM,tfidf+fasttext,none,norm_l2,0.925,0.925,0.924,35.69987
ag_news,SVM,tfidf+word2vec_cbow,none,none,0.923,0.923,0.923,137.04207
ag_news,SVM,tfidf+word2vec_sg,none,norm_l2,0.923,0.923,0.923,35.55299
ag_news,SVM,tfidf+word2vec_sg,none,none,0.923,0.923,0.923,52.74159
ag_news,SVM,tfidf+fasttext,none,none,0.923,0.923,0.923,51.08388
ag_news,SVM,tfidf+glove,none,norm_l2,0.919,0.919,0.919,41.27932
ag_news,LR,bow+word2vec_sg,none,none,0.915,0.915,0.915,13949.26076
ag_news,LR,bow+fasttext,none,none,0.915,0.915,0.915,12388.64543
ag_news,SVM,tfidf+word2vec_cbow,none,norm_l2,0.915,0.915,0.915,61.40579
ag_news,LR,bow+word2vec_sg,none,maxabs,0.913,0.913,0.913,4090.35383
ag_news,LR,bow+fasttext,none,maxabs,0.913,0.913,0.913,4000.15819
ag_news,LR,bow+fasttext,none,norm_l2,0.912,0.912,0.912,1412.15399
ag_news,LR,bow+word2vec_sg,none,norm_l2,0.912,0.912,0.912,1114.89269
ag_news,SVM,tfidf+fasttext,mi,none,0.908,0.908,0.908,33.10174
ag_news,SVM,tfidf+fasttext,mi,maxabs,0.908,0.908,0.908,40.02717
ag_news,SVM,tfidf+fasttext,mi,norm_l2,0.909,0.909,0.908,24.3233
ag_news,SVM,tfidf+word2vec_sg,mi,maxabs,0.908,0.908,0.908,39.42133
ag_news,SVM,tfidf+word2vec_sg,mi,norm_l2,0.908,0.908,0.908,23.97959
ag_news,SVM,tfidf+glove,none,maxabs,0.908,0.908,0.908,80.37738
ag_news,LR,bow+fasttext,mi,none,0.907,0.907,0.907,3608.31488
ag_news,SVM,tfidf+fasttext,none,maxabs,0.907,0.907,0.907,80.8226
ag_news,LR,bow+word2vec_sg,mi,none,0.907,0.907,0.907,3615.89901
ag_news,SVM,tfidf+word2vec_sg,none,maxabs,0.907,0.907,0.907,87.39674
ag_news,SVM,tfidf+word2vec_sg,mi,none,0.908,0.908,0.907,33.68206
ag_news,LR,bow+word2vec_sg,mi,norm_l2,0.906,0.906,0.906,175.45007
ag_news,LR,bow+word2vec_sg,mi,maxabs,0.906,0.906,0.906,773.18659
ag_news,LR,bow+fasttext,mi,maxabs,0.906,0.906,0.906,854.53713
ag_news,SVM,tfidf+word2vec_cbow,none,maxabs,0.906,0.906,0.906,105.06318
ag_news,LR,bow+fasttext,mi,norm_l2,0.905,0.905,0.905,174.67781
ag_news,SVM,tfidf+glove,mi,none,0.903,0.903,0.903,46.13282
ag_news,SVM,tfidf+glove,mi,maxabs,0.904,0.904,0.903,37.97347
ag_news,SVM,tfidf+glove,mi,norm_l2,0.901,0.901,0.901,24.03847
ag_news,SVM,tfidf+fasttext,none,svd100,0.896,0.896,0.896,7.41318
ag_news,SVM,tfidf+word2vec_cbow,mi,maxabs,0.896,0.896,0.896,64.8992
ag_news,SVM,tfidf+word2vec_cbow,mi,none,0.896,0.896,0.896,80.17966
ag_news,SVM,tfidf+fasttext,mi,svd100,0.896,0.896,0.895,6.92512
ag_news,SVM,tfidf+word2vec_sg,mi,svd100,0.894,0.894,0.894,6.47266
ag_news,SVM,tfidf+word2vec_sg,none,svd100,0.895,0.895,0.894,7.84466
ag_news,SVM,tfidf+word2vec_cbow,mi,norm_l2,0.892,0.892,0.892,37.44444
ag_news,SVM,tfidf+glove,none,svd100,0.888,0.888,0.887,6.17024
ag_news,SVM,tfidf+glove,mi,svd100,0.886,0.886,0.886,5.29487
ag_news,LR,bow+word2vec_sg,mi,svd100,0.885,0.885,0.884,258.5002
ag_news,LR,bow+fasttext,mi,svd100,0.882,0.882,0.882,442.91941
ag_news,LR,bow+word2vec_sg,none,svd100,0.879,0.879,0.879,342.2067
ag_news,SVM,tfidf+word2vec_cbow,mi,svd100,0.877,0.877,0.877,7.45092
ag_news,LR,bow+fasttext,none,svd100,0.877,0.877,0.877,344.94217
ag_news,SVM,tfidf+word2vec_cbow,none,svd100,0.878,0.878,0.877,9.48731
