dataset,size,model,prepo_funcs,hybrid,accuracy,recall,f1,train_time
20newsgroups,large,AdaBoost,LOW,tfidf+glove,0.359,0.358,0.365,17.78806
20newsgroups,large,AdaBoost,LOW,bow+tfidf,0.34,0.34,0.356,14.49731
20newsgroups,large,AdaBoost,LOW,bow+glove,0.333,0.333,0.351,15.45806
20newsgroups,large,AdaBoost,LOW,bow+word2vec_cbow,0.315,0.314,0.319,15.82797
20newsgroups,large,AdaBoost,LOW,tfidf+fasttext,0.292,0.292,0.292,17.9166
20newsgroups,large,AdaBoost,LOW,tfidf+word2vec_cbow,0.278,0.277,0.276,18.04901
20newsgroups,large,AdaBoost,LOW,tfidf+word2vec_sg,0.231,0.23,0.203,17.94602
20newsgroups,large,AdaBoost,LOW,bow+word2vec_sg,0.238,0.238,0.202,15.46001
20newsgroups,large,AdaBoost,LOW,bow+fasttext,0.223,0.223,0.2,15.53624
20newsgroups,large,AdaBoost,LOW,word2vec_cbow+glove,0.2,0.2,0.19,15.5492
20newsgroups,large,AdaBoost,LOW,word2vec_cbow+word2vec_sg,0.247,0.247,0.182,15.45099
20newsgroups,large,AdaBoost,LOW,word2vec_sg+fasttext,0.227,0.227,0.178,15.5483
20newsgroups,large,AdaBoost,LOW,word2vec_cbow+fasttext,0.199,0.199,0.157,15.51357
20newsgroups,large,AdaBoost,LOW,word2vec_sg+glove,0.204,0.203,0.15,15.43145
20newsgroups,large,AdaBoost,LOW,glove+fasttext,0.194,0.194,0.139,15.66704
20newsgroups,large,DT,LOW,bow+tfidf,0.397,0.396,0.401,8.31287
20newsgroups,large,DT,LOW,bow+word2vec_sg,0.394,0.393,0.394,5.3842
20newsgroups,large,DT,LOW,tfidf+glove,0.388,0.388,0.386,6.75795
20newsgroups,large,DT,LOW,bow+glove,0.379,0.378,0.377,5.97142
20newsgroups,large,DT,LOW,tfidf+fasttext,0.376,0.376,0.377,5.95015
20newsgroups,large,DT,LOW,tfidf+word2vec_cbow,0.374,0.373,0.373,8.8427
20newsgroups,large,DT,LOW,bow+fasttext,0.374,0.373,0.371,5.42505
20newsgroups,large,DT,LOW,bow+word2vec_cbow,0.374,0.373,0.367,7.75579
20newsgroups,large,DT,LOW,tfidf+word2vec_sg,0.368,0.368,0.367,6.09089
20newsgroups,large,DT,LOW,glove+fasttext,0.312,0.312,0.312,2.654
20newsgroups,large,DT,LOW,word2vec_sg+glove,0.306,0.306,0.308,2.80238
20newsgroups,large,DT,LOW,word2vec_sg+fasttext,0.304,0.303,0.302,2.84451
20newsgroups,large,DT,LOW,word2vec_cbow+word2vec_sg,0.289,0.289,0.287,2.87409
20newsgroups,large,DT,LOW,word2vec_cbow+fasttext,0.286,0.286,0.286,2.89546
20newsgroups,large,DT,LOW,word2vec_cbow+glove,0.269,0.268,0.266,2.72139
20newsgroups,large,LR,DON,tfidf+word2vec_sg,0.648,0.647,0.644,36.84011
20newsgroups,large,LR,DON,tfidf+glove,0.642,0.642,0.639,61.25548
20newsgroups,large,LR,DON,bow+glove,0.634,0.634,0.633,61.69878
20newsgroups,large,LR,DON,tfidf+fasttext,0.636,0.635,0.631,36.96199
20newsgroups,large,LR,DON,bow+word2vec_sg,0.628,0.627,0.626,75.34064
20newsgroups,large,LR,DON,bow+tfidf,0.626,0.626,0.624,100.10082
20newsgroups,large,LR,DON,bow+word2vec_cbow,0.624,0.623,0.622,78.80622
20newsgroups,large,LR,DON,bow+fasttext,0.624,0.623,0.622,76.64327
20newsgroups,large,LR,DON,word2vec_sg+glove,0.625,0.624,0.621,8.37243
20newsgroups,large,LR,DON,word2vec_cbow+glove,0.622,0.622,0.619,9.42718
20newsgroups,large,LR,DON,glove+fasttext,0.621,0.62,0.617,7.97591
20newsgroups,large,LR,DON,tfidf+word2vec_cbow,0.569,0.568,0.562,49.96704
20newsgroups,large,LR,DON,word2vec_sg+fasttext,0.462,0.462,0.454,5.98261
20newsgroups,large,LR,DON,word2vec_cbow+word2vec_sg,0.399,0.399,0.387,7.29494
20newsgroups,large,LR,DON,word2vec_cbow+fasttext,0.375,0.375,0.357,7.454
20newsgroups,large,NB,RSW,bow+tfidf,0.742,0.741,0.741,0.14739
20newsgroups,large,NB,RSW,bow+word2vec_cbow,,,,
20newsgroups,large,NB,RSW,bow+word2vec_sg,,,,
20newsgroups,large,NB,RSW,bow+glove,,,,
20newsgroups,large,NB,RSW,bow+fasttext,,,,
20newsgroups,large,NB,RSW,tfidf+word2vec_cbow,,,,
20newsgroups,large,NB,RSW,tfidf+word2vec_sg,,,,
20newsgroups,large,NB,RSW,tfidf+glove,,,,
20newsgroups,large,NB,RSW,tfidf+fasttext,,,,
20newsgroups,large,NB,RSW,word2vec_cbow+word2vec_sg,,,,
20newsgroups,large,NB,RSW,word2vec_cbow+glove,,,,
20newsgroups,large,NB,RSW,word2vec_cbow+fasttext,,,,
20newsgroups,large,NB,RSW,word2vec_sg+glove,,,,
20newsgroups,large,NB,RSW,word2vec_sg+fasttext,,,,
20newsgroups,large,NB,RSW,glove+fasttext,,,,
20newsgroups,large,RF,DON,bow+tfidf,0.661,0.661,0.65,11.92483
20newsgroups,large,RF,DON,bow+glove,0.574,0.573,0.57,9.93418
20newsgroups,large,RF,DON,tfidf+glove,0.567,0.566,0.565,9.45972
20newsgroups,large,RF,DON,word2vec_sg+glove,0.536,0.536,0.535,7.55493
20newsgroups,large,RF,DON,glove+fasttext,0.52,0.52,0.518,7.5595
20newsgroups,large,RF,DON,word2vec_cbow+glove,0.512,0.512,0.507,8.03957
20newsgroups,large,RF,DON,tfidf+word2vec_sg,0.505,0.505,0.499,9.0177
20newsgroups,large,RF,DON,bow+word2vec_sg,0.492,0.491,0.485,9.24015
20newsgroups,large,RF,DON,tfidf+fasttext,0.488,0.488,0.48,9.26226
20newsgroups,large,RF,DON,bow+fasttext,0.483,0.482,0.474,9.22429
20newsgroups,large,RF,DON,word2vec_sg+fasttext,0.456,0.455,0.453,7.43733
20newsgroups,large,RF,DON,word2vec_cbow+fasttext,0.429,0.428,0.419,7.34639
20newsgroups,large,RF,DON,word2vec_cbow+word2vec_sg,0.425,0.424,0.416,7.89475
20newsgroups,large,RF,DON,tfidf+word2vec_cbow,0.356,0.356,0.345,10.35099
20newsgroups,large,RF,DON,bow+word2vec_cbow,0.344,0.344,0.337,10.32278
20newsgroups,large,SVM,DON,tfidf+word2vec_cbow,0.741,0.74,0.734,13.61226
20newsgroups,large,SVM,DON,tfidf+word2vec_sg,0.733,0.732,0.726,8.19851
20newsgroups,large,SVM,DON,tfidf+fasttext,0.73,0.729,0.723,8.01802
20newsgroups,large,SVM,DON,tfidf+glove,0.702,0.701,0.698,11.22609
20newsgroups,large,SVM,DON,bow+tfidf,0.681,0.681,0.679,40.33477
20newsgroups,large,SVM,DON,bow+glove,0.679,0.678,0.676,24.37007
20newsgroups,large,SVM,DON,bow+fasttext,0.675,0.674,0.673,24.84987
20newsgroups,large,SVM,DON,bow+word2vec_sg,0.672,0.671,0.67,26.77406
20newsgroups,large,SVM,DON,bow+word2vec_cbow,0.669,0.669,0.667,31.07286
20newsgroups,large,SVM,DON,word2vec_sg+glove,0.622,0.622,0.622,9.68848
20newsgroups,large,SVM,DON,glove+fasttext,0.62,0.619,0.619,9.94691
20newsgroups,large,SVM,DON,word2vec_cbow+glove,0.618,0.618,0.618,9.50669
20newsgroups,large,SVM,DON,word2vec_sg+fasttext,0.499,0.498,0.484,9.24873
20newsgroups,large,SVM,DON,word2vec_cbow+word2vec_sg,0.484,0.483,0.466,10.03076
20newsgroups,large,SVM,DON,word2vec_cbow+fasttext,0.462,0.462,0.442,11.2959
20newsgroups,large,XGBoost,DON,bow+glove,0.641,0.641,0.639,179.60185
20newsgroups,large,XGBoost,DON,tfidf+glove,0.624,0.623,0.622,268.1148
20newsgroups,large,XGBoost,DON,tfidf+fasttext,0.585,0.584,0.581,279.20749
20newsgroups,large,XGBoost,DON,bow+fasttext,0.571,0.571,0.568,184.52805
20newsgroups,large,XGBoost,DON,bow+tfidf,0.563,0.563,0.563,370.21923
20newsgroups,large,XGBoost,DON,bow+word2vec_sg,0.565,0.564,0.562,194.82175
20newsgroups,large,XGBoost,DON,glove+fasttext,0.565,0.564,0.562,151.4031
20newsgroups,large,XGBoost,DON,bow+word2vec_cbow,0.556,0.556,0.554,215.33219
20newsgroups,large,XGBoost,DON,tfidf+word2vec_sg,0.556,0.556,0.552,274.1989
20newsgroups,large,XGBoost,DON,tfidf+word2vec_cbow,0.552,0.552,0.548,292.45322
20newsgroups,large,XGBoost,DON,word2vec_sg+glove,0.546,0.545,0.544,146.24873
20newsgroups,large,XGBoost,DON,word2vec_cbow+glove,0.535,0.534,0.53,142.90302
20newsgroups,large,XGBoost,DON,word2vec_cbow+word2vec_sg,0.45,0.45,0.448,157.79849
20newsgroups,large,XGBoost,DON,word2vec_sg+fasttext,0.442,0.442,0.441,157.3395
