dataset,size,model,prepo_funcs,hybrid,accuracy,recall,f1,train_time
ag_news,medium,AdaBoost,RSW-LOW,word2vec_cbow+word2vec_sg,0.849,0.849,0.849,600.46653
ag_news,medium,AdaBoost,RSW-LOW,word2vec_cbow+fasttext,0.847,0.847,0.847,593.89037
ag_news,medium,AdaBoost,RSW-LOW,tfidf+word2vec_cbow,0.844,0.844,0.844,449.58485
ag_news,medium,AdaBoost,RSW-LOW,bow+word2vec_cbow,0.843,0.843,0.843,432.50292
ag_news,medium,AdaBoost,RSW-LOW,word2vec_cbow+glove,0.839,0.839,0.839,594.29601
ag_news,medium,AdaBoost,RSW-LOW,tfidf+fasttext,0.828,0.828,0.828,447.29814
ag_news,medium,AdaBoost,RSW-LOW,bow+fasttext,0.825,0.825,0.825,437.30016
ag_news,medium,AdaBoost,RSW-LOW,bow+word2vec_sg,0.824,0.824,0.824,426.04292
ag_news,medium,AdaBoost,RSW-LOW,word2vec_sg+fasttext,0.823,0.823,0.823,598.00025
ag_news,medium,AdaBoost,RSW-LOW,word2vec_sg+glove,0.822,0.822,0.822,591.23791
ag_news,medium,AdaBoost,RSW-LOW,glove+fasttext,0.822,0.822,0.822,676.6129
ag_news,medium,AdaBoost,RSW-LOW,tfidf+word2vec_sg,0.82,0.82,0.82,459.85601
ag_news,medium,AdaBoost,RSW-LOW,bow+glove,0.803,0.803,0.804,435.02468
ag_news,medium,AdaBoost,RSW-LOW,tfidf+glove,0.797,0.797,0.797,449.23981
ag_news,medium,AdaBoost,RSW-LOW,bow+tfidf,0.567,0.567,0.574,75.34631
ag_news,medium,DT,RSW,bow+word2vec_cbow,0.832,0.832,0.832,767.92386
ag_news,medium,DT,RSW,tfidf+word2vec_cbow,0.827,0.827,0.827,772.26494
ag_news,medium,DT,RSW,word2vec_cbow+word2vec_sg,0.813,0.813,0.813,450.0873
ag_news,medium,DT,RSW,bow+word2vec_sg,0.812,0.812,0.812,666.64514
ag_news,medium,DT,RSW,tfidf+word2vec_sg,0.811,0.811,0.811,687.98737
